name,source,domain,url,institution,duration_weeks,difficulty,skill_tags,syllabus_weeks
Data Structures and Algorithms Design,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs81/preview,IIT Kanpur,12,Undergraduate/Postgraduate,"Computer Science and Engineering,Programming,Computer Science & Engineering,Mathematics,Electronics,Physics,Discrete Optimization,Cryptography/ Cyber Security,Coding theory,Computer Algebra,Symbolic Computing Software,Artificial Intelligence,Learning S","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Computer Architecture,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs01/preview,IIT Delhi,12,Postgraduate,"Computer Science and Engineering,Systems,Data Structures An,Intel,AMD,IBM,Qualcomm,Texas Instruments",[]
Advanced Computer Networks,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs02/preview,"IIT Indore, IIT Gandhi nagar",12,Undergraduate/Postgraduate,"Computer Science and Engineering,CISCO,Juniper Networks,Sasken,Hewlett-Packard,Wipro,Broadcom","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Graph Theory,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs03/preview,IIT Patna,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Companies like Microsoft Research,Google,Facebook","[""Week 1:Introduction to Graphs & its Applications, Basics of Paths, Cycles, and Trails, Connection, Bipartit"", ""Week 2:Trees and Distance, Properties of Trees, Spanning Trees and Enumeration, Matrix-tree computation, Ca"", ""Week 3:Matchings and Covers, Hall's Condition, Min-Max Theorem, Independent Sets, Covers and Maximum Bipart"", ""Week 4:Stable Matchings and Faster Bipartite Matching, Factors & Perfect Matching in General Graphs, Matchi"", ""Week 5:Connectivity and Paths: Cuts and Connectivity, k-Connected Graphs, Network Flow Ford-Fulkerson Label"", ""Week 6:Vertex Coloring and Upper Bounds, Brooks\u2019 Theorem and Color-Critical Graphs, Counting Proper Colorin"", ""Week 7:Planar Graphs, Characterization of Planar Graphs, Kuratowski's Theorem, Wagner's Theorem.Week 8:Line""]"
Affective Computing,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs04/preview,"IIIT Delhi, IIT Ropar",12,Undergraduate/Postgraduate,"Computer Science and Engineering,Artificial Intelligence,In general","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
AI:Constraint Satisfaction,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs05/preview,IIT Madras,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Artificial Intelligence,AI:  Search Methods for",[]
Circuit Complexity Theory,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs10/preview,IIT Kanpur,12,Undergraduate/Postgraduate,Computer Science and Engineering,"[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Computer Networks And Internet Protocol,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs15/preview,IIT Kharagpur,12,Undergraduate/Postgraduate,"Computer Science and Engineering,Systems,Cyber Security,CSE,ECE,EEINDUSTRY SUPPORT :  IT industries,IT industries","[""Week 1"", ""Week 2"", ""Week 3:\u00a0Application Layer Services (HTTP, FTP, Email, DNS)"", ""Week 3"", ""Week 4:\u00a0 Transport Layer Primitives \u2013 Connection Establishment and Closure"", ""Week 4"", ""Week 5:\u00a0 Flow Control and Congestion Control at the Transport Layer"", ""Week 5"", ""Week 6:\u00a0 Transmission Control Protocol \u2013 Basic Features, TCP Congestion Control"", ""Week 6"", ""Week 7:\u00a0 Network Layer Primitives \u2013 IP Addressing"", ""Week 7"", ""Week 8:\u00a0 IP Routing \u2013 Intra Domain Routing Protocols, Inter Domain Routing Protocols (BGP)"", ""Week 8"", ""Week 9:\u00a0 IP Services \u2013 SNMP, ARP"", ""Week 9""]"
Data Science for Engineers,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs20/preview,IIT Madras,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Data Science,Programming,HONEYWELL,ABB,FORD,GYAN DATA PVT. LTD.","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:""]"
Digital Design with Verilog,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs25/preview,IIT Guwahati,12,Undergraduate,"Computer Science and Engineering,BTech in CSE,ECE,EIE,Qualcomm,Samsung,Apple,VLSI Industries like Intel,Xilinx,etc.","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:Lecture 26:"", ""Week 9:Lecture 29:"", ""Week 10:Lecture 33:"", ""Week 11:Lecture 37:"", ""Week 12:Lecture 40:""]"
