company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
DMart,,2-6 Yrs,,PositionPurchase OfficerReportingFunctional Reporting:  ASM/SM & Category ManagerAdmini...,,"Vadodara, Anand, Godhra",Purchase Officer,,,2026-03-06 03:54:19 +0000,,"Excellent Negotiation Skills,Communication Skills,Inventory Management,Stock Management,Good numerical ability,Vendor Management,Inventory,Purchase",
Centre For Sight,,0-2 Yrs,,"Key Responsibilities:Greet and assist patients, visitors, and callers with professiona...",,"Vadodara, Gandhinagar",Front Office Executive,,,2026-03-06 03:54:19 +0000,,"Front Office Management,Front Desk,Receptionist Activities,Reception,Front,Front office,Office management,Desk",
MNC BPO,,0-3 Yrs,,It's a customer service role. Good communication skills required Required for an immedi...,,"Vadodara, Indore, Thane, Hyderabad, Navi Mumbai, Bengaluru",Customer Service Executive,,,2026-03-06 03:54:19 +0000,,"CSE,Customer service",
Teleperformance (TP),,0-3 Yrs,,Excellent communication and interpersonal skills. . Ability to work in a dynamic and ch...,,Vadodara,Customer Support Executive,,,2026-03-06 03:54:19 +0000,,"support executive,customer service,communication and interpersonal skills,analytical skills,customer support,crm,communication skills,Interpersonal skills",
Ample Technologies,,0-5 Yrs,,"We are Hiring!Retail Sales Executive for Vadodara and Ahmedabad Location, Interested Ca...",,"Vadodara, Ahmedabad",Urgent Hiring For Retail Sales Executive- BOSE .,,,2026-03-06 03:54:19 +0000,,"Communication Skills,Retail Sales,Fluent English,Sales,Convincing Power,Showroom Sales,Customer Handling,Interpersonal Skills",
Aakash Infotech,,0-2 Yrs,,AAKASH INFOTECH is looking for Customer Support Executive to join our dynamic team and ...,,"Vadodara, Mumbai, Ahmedabad, Rajkot, Surat",Customer Support Executive,,,2026-03-06 03:54:19 +0000,,"Software support,Customer Support Executive,Customer support,Software",
Marriott,,14-16 Yrs,,"No Standard Job Description Available.     At Marriott International, we are dedicated...",,"Vadodara, Hyderabad",Asst Director - Sales & Marketing,,,2026-03-06 03:54:19 +0000,,"channel sales,direct marketing,branding,business development,corporate sales,sales,sales and marketing,brand management",
Marriott,,0-5 Yrs,,"Instead, we want to build an experience that is memorable and unique",,"Vadodara, Hyderabad",Housekeeping Associate,,,2026-03-06 03:54:19 +0000,,"Housekeeping,Housekeeping Associate,Quality standards,Room,Quality",
Cliantha Research,,0-1 Yrs,,Role & responsibilities:Strategic HR PlanningTalent Acquisition and OnboardingEmployee ...,,Vadodara,Human Resource Business Partner,,,2026-03-06 03:54:19 +0000,,"Business Partnering,Strategic HR,Employee Engagement,Employee Relations,Engagement,Hrsd,Resource,Relationship",
Blueberry Group,,0-5 Yrs,,Prior experience in travel and tourism sales is an added advantageLeverage field sales ...,,"Vadodara, Delhi / NCR, Mumbai (All Areas)",Sales Executive,,,2026-03-06 03:54:19 +0000,,"Field Sales,Lead Generation,B2C Sales,Cold Calling,Client Meeting,B2B Sales,Marketing,Client",
Kotak Life Insurance,,0-5 Yrs,,It will be a travelling profile candidates should be willing to travel 3 - 4 branches a...,,"Vadodara, Kolkata, Pune",Sales manager |  |  Banca channel  CAB SALES,,,2026-03-06 03:54:19 +0000,,"Sales,FRESHER,Communication Skills,Relationship Building,Business Development,Cab,Development,Channel",
Hdfc Bank,,0-3 Yrs,,These calls should be done in a structured manner either individually or with support g...,,Vadodara,Hiring For CA Fresher in BBWC-RM,,,2026-03-06 03:54:19 +0000,,"Working Capital,WC,Balance Sheet Analysis,chartered accountant,Business Banking,Msme Lending,SME Sales,EEG",
Edwise,,0-2 Yrs,,Male Candidates Preferred To establish and maintain the companys presence in target mar...,,Vadodara,Marketing Executive,,,2026-03-06 03:54:19 +0000,,"Marketing,analytics,Leaflet Distribution,campaign management,data analytics,market research,market analysis,Analysis",
Aakash Infotech,,1-5 Yrs,,AAKASH INFOTECH is looking for Marketing Executive to join our dynamic team and embark ...,,"Vadodara, Mumbai, New Delhi, Pune, Ahmedabad, Rajkot, Surat",Marketing Executive,,,2026-03-06 03:54:19 +0000,,"Sales,Marketing Executive,Marketing",
Finolex Cables,,5-10 Yrs,,Preferred Skills & Competencies. .,,"Vadodara, Kolkata, Pune",Project Sales Executive,,,2026-03-06 03:54:19 +0000,,"Project Sales,Project,Sales",
Rapsys Tech Solutions,,5-10 Yrs,,"Education: Post-graduate, MBA in Sales and Marketing preferred . 5+ years of experience...",,"Vadodara, Panaji, Hyderabad, Amritsar, Bikaner, Kolhapur, Mumbai, Mohali, Indore, Ratnagiri, Mangaluru, Pune, Lucknow, Kozhikode, Gurugram, Bengaluru",Area Sales Manager,,,2026-03-06 03:54:19 +0000,,"Supply chain,Product launch,Production planning,Business Development Executive,Merchandising,MS Office,Monitoring,Recruitment",
ABB,,5-10 Yrs,,Your Qualifications: . BE / BTECH in Electrical or Mechanical Engineering from a repute...,,Vadodara,Engineer - Fulfillment,,,2026-03-06 03:54:19 +0000,,"rotating,mechanical engineering,oil,procurement,electrical machines,data mining,electrical engineering,motors",
ABB,,5-8 Yrs,,BE / BTECH in Mechanical Engineering with 5-8 years of experience in Manufacturing Engi...,,Vadodara,Production Engineering Specialist,,,2026-03-06 03:54:19 +0000,,"https relationship management,mechanical engineering,energy storage,storage solutions,manufacturing,maintenance,manufacturing engineering,transportation",
Rockwell Automation,,8-15 Yrs,,Certified PMP. Collaborate with commercial teams to remove operational friction and imp...,,"Vadodara, Pune",Business Development Manager - Process Industry,,,2026-03-06 03:54:19 +0000,,"Automation,Brand positioning,PMP,Penetration,Competitive analysis,Db2,Presales,Instrumentation",
Digit Insurance,,6-11 Yrs,,"Graduate / Postgraduate in Insurance, Risk Management, or related fieldProfessional cer...",,"Vadodara, Mumbai, Surat",Commercial Lines Underwriter,,,2026-03-06 03:54:19 +0000,,"underwriting,insurance,risk management,risk assessment,stakeholder management,compliance,pricing models,product development",
DMart,,4-9 Yrs,,Role & responsibilities :Smooth functioning of a department/floorStore merchandisingIn...,,"Vadodara, Bharuch, Anand",Department Manager/Sr. Officer,,,2026-03-06 03:54:19 +0000,,"Manpower Handling,Inventory Control,Shift Planning,Production Supervising,Shop Floor Management,Customer Handling,Manpower,Production",
Dainik Bhaskar Group,,3-8 Yrs,,Qualification: Graduate / MBA preferred . Preferred candidate profile .  * Good interpe...,,Vadodara,Assistant Sales Manager,,,2026-03-06 03:54:19 +0000,,"Sales Coordination,Space Selling,Selling,Management,Assistance,Coordination,Space management,Sales",
Shoppers Stop,,2-4 Yrs,,#NAME?,,Vadodara,Store Manager-Intune,,,2026-03-06 03:54:19 +0000,,"Excellent in Written & Verbal Communication,Team Building,Retail Operations,Store Management,Leadership Skills,Communication skills,Building,Retail",
Bajaj Finance,,2-3 Yrs,,Required Qualifications and Experience,,Vadodara,Assistant Manager - Debt Management Services - Consumer,,,2026-03-06 03:54:19 +0000,,"debt management,people management,collection,cost of collections,pi targets,legal guidelines,leadership skills,leadership",
Bajaj Finance,,1-3 Yrs,,Required Qualifications and Experience,,Vadodara,Senior Executive - Debt Management Services - Urban GCL,,,2026-03-06 03:54:19 +0000,,"debt management,people management,collection,cost of collections,pi targets,legal guidelines,leadership skills,leadership",
Collabera,,0-2 Yrs,,Shift Timings: 5:30 PM to 2:30 AM IST (US Shift)Bachelor degree in CommerceYou should b...,,Vadodara,Timesheet Executive,,,2026-03-06 03:54:19 +0000,,"Communication Skills,US Process,Payroll,Time Management,Invoice Processing,Timesheet,US Accounting,Book Keeping",
Bajaj Finance,,8-10 Yrs,,Required Qualifications and Experience,,Vadodara,Manager - Debt Management Services - DCC,,,2026-03-06 03:54:19 +0000,,"debt management,collection,cost of collections,pi targets,legal guidelines,legal,collection targets,negotiation skills",
Greenply,,4-9 Yrs,,To improve Customer Experience by identifying and improving the Customer requirements a...,,"Vadodara, Ahmedabad, Surat",Territory Sales Incharge - Surat / Baroda / Ahmedabad,,,2026-03-06 03:54:19 +0000,,"Project Sales,architect,Secondary Sales,B2B,builder,contractor,Industrial Sales,dealers",
Bajaj Finance,,2-4 Yrs,,This position is open with Bajaj Finance limitedYoung and dynamic Experienced candidate...,,Vadodara,Relationship Manager - GL North West,,,2026-03-06 03:54:19 +0000,,"relationship manager,insurance,gold loans,gl,loans,cash management,accounting,collection",
